,linqmap_type,linqmap_subtype,pubDate,linqmap_reportDescription,linqmap_city,linqmap_street,linqmap_roadType,linqmap_reportRating,linqmap_magvar,linqmap_reliability,update_date,x,y
29,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:32:57.000,,גבעת שמואל,מבצע קדש,2,5,280,5,2022-05-15 09:53:02.318,185335.1500000004,664852.7699999996
30,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:37:45.000,,רמת גן,מקס ואנה ווב,2,5,185,5,2022-05-15 09:53:02.318,185526.0499999998,663856.3499999996
28,JAM,,2022-05-15 09:41:32.000,,קריית אונו,בן גוריון,2,5,332,6,2022-05-15 09:53:02.318,186197.33000000007,662436.0500000007
32,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:32:30.000,,תל אביב - יפו,שטרית,2,5,126,5,2022-05-15 09:53:02.319,182785.5,668237.4199999999
33,WEATHERHAZARD,HAZARD_ON_ROAD_OBJECT,2022-05-15 09:42:01.000,,,ל-20 איילון צפון,4,5,353,9,2022-05-15 09:53:02.319,177687.86000000034,658274.0399999991
31,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 08:59:26.000,,,1 מערב / 6 צפון,3,5,9,10,2022-05-15 09:53:02.319,193313.7199999997,648841.6400000006
34,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-22 12:08:20.000,,תל אביב - יפו,שתולים,1,0,0,10,2022-05-15 09:53:02.320,180774.2199999997,661479.4800000004
35,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:21:28.000,,תל אביב - יפו,שלבים,2,5,27,5,2022-05-15 09:53:02.320,177850.1799999997,661859.0199999996
36,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2022-05-15 09:36:47.000,,מודיעין-מכבים-רעות,,2,5,207,7,2022-05-15 09:53:02.320,199204.74000000025,646085.8100000005
37,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:32:01.000,,,461 מזרח,6,5,100,6,2022-05-15 09:53:02.320,190832.5700000003,659113.0600000005
38,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:41:01.000,,רמת גן,זאב זבוטינסקי,2,5,73,6,2022-05-15 09:53:02.321,181383.29000000004,665563.5600000005
39,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:50:58.000,,,6 דרום,3,5,195,6,2022-05-15 09:53:02.321,196571.6299999999,672473.0199999996
40,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:48:10.000,,רמת גן,בועז,1,5,287,5,2022-05-15 09:53:02.321,182016.53000000023,665286.3699999992
41,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 09:47:46.000,,רמת גן,מנחם בגין,2,5,343,5,2022-05-15 09:53:02.322,181251.6799999997,665563.0600000005
42,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:37:33.000,,,6 דרום,3,5,201,10,2022-05-15 09:53:02.322,198104.9400000004,681875.2699999996
43,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:47:36.000,,,7 מערב,3,5,311,5,2022-05-15 09:53:02.322,175307.33000000007,635899.1400000006
50,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:11:11.000,,,4 דרום,3,5,210,7,2022-05-15 09:53:02.324,187899.26999999955,670703.2799999993
48,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:45:03.000,,,,3,5,220,10,2022-05-15 09:53:02.324,176771.88999999966,650874.5299999993
47,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 09:41:31.000,,,ל-4 תל-אביב,4,5,3,10,2022-05-15 09:53:02.324,168631.63999999966,631622.2100000009
49,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-10 11:37:10.000,,תל אביב - יפו,ארלוזורוב,2,0,0,10,2022-05-15 09:53:02.324,178747.04000000004,666085.1899999995
45,WEATHERHAZARD,,2022-05-15 09:36:57.000,,,2 צפון,3,5,18,10,2022-05-15 09:53:02.324,188495.2000000002,694336.3399999999
46,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 08:53:44.000,,,443 מערב,6,5,289,10,2022-05-15 09:53:02.324,197747.09999999963,650230.2400000002
44,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02.000,,תל אביב - יפו,בן יהודה,2,0,0,10,2022-05-15 09:53:02.324,178578.91999999993,665596.5600000005
51,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-12-10 12:47:37.000,,תל אביב - יפו,הר ציון,2,0,0,10,2022-05-15 09:53:02.325,179211.83999999985,663036.8800000008
52,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:49:11.000,,,4 דרום,3,5,210,10,2022-05-15 09:53:02.325,174066.46999999974,643374.6500000004
53,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:33:46.000,,,40 דרום,6,5,171,5,2022-05-15 09:53:02.325,191081.08999999985,662495.8800000008
55,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:50:31.000,,גבעת שמואל,,2,5,37,5,2022-05-15 09:53:02.326,186122.4699999997,664465.7699999996
56,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:20:47.000,,,461 מערב,6,5,282,9,2022-05-15 09:53:02.326,186588.8099999996,660191.4399999995
54,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:50:07.000,,,6 צפון,3,5,11,7,2022-05-15 09:53:02.326,184105.91000000012,634400.75
57,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-30 17:20:25.000,,תל אביב - יפו,קפריסין,1,0,0,10,2022-05-15 09:53:02.327,182658.25999999975,669383.8599999994
58,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:48:24.000,,,4 דרום,3,5,191,7,2022-05-15 09:53:02.327,189780.9299999997,676776.1500000004
59,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:48:47.000,,,40 צפון,6,5,354,8,2022-05-15 09:53:02.327,191081.01999999955,662603.8900000006
60,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:25:14.000,,גבעת שמואל,דוד בן גוריון,2,5,203,7,2022-05-15 09:53:02.328,185641.1399999997,664875.4499999993
61,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:34:58.000,,,20 איילון צפון,3,5,354,5,2022-05-15 09:53:02.328,177092.23000000045,653630.1099999994
62,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:34:57.000,,רעננה,חפץ חיים,1,5,194,6,2022-05-15 09:53:02.328,187689.9299999997,676735.3800000008
64,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-04 13:14:39.000,,יבנה,שד ירושלים,2,0,0,10,2022-05-15 09:53:02.329,174941.16999999993,644013.75
63,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:47:42.000,,,4 צפון,3,5,21,5,2022-05-15 09:53:02.329,180454.58999999985,653702.6899999995
65,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:33:52.000,,,20 איילון צפון,3,5,14,5,2022-05-15 09:53:02.329,177488.1799999997,656794.8200000003
69,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 09:42:59.000,,רחובות,יצחק יעקובי,2,5,235,5,2022-05-15 09:53:02.330,182410.58999999985,643198.1300000008
68,WEATHERHAZARD,,2022-05-15 09:47:56.000,,,412 צפון,6,5,50,6,2022-05-15 09:53:02.330,184676.7999999998,657223.0999999996
66,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 08:55:15.000,,,20 איילון צפון,3,5,11,10,2022-05-15 09:53:02.330,177628.11000000034,657366.9399999995
67,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2021-02-07 05:00:00.000,חסר מידע,,,0,0,0,8,2022-05-15 09:53:02.330,178825.86000000034,665089.1799999997
70,WEATHERHAZARD,,2022-05-15 09:50:29.000,,,1 מזרח,3,5,128,6,2022-05-15 09:53:02.331,191342.83999999985,653672.7699999996
71,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 09:46:18.000,,,ל-ההלכה,4,5,14,5,2022-05-15 09:53:02.331,181365.8799999999,666260.1400000006
72,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:43:01.000,,כפר סבא,"התע""ש",2,5,203,5,2022-05-15 09:53:02.331,193245.71,675727.4100000001
73,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 08:50:44.000,,ראשון לציון,דוד רמז,1,5,7,10,2022-05-15 09:53:02.332,180561.6500000004,652405.7300000004
74,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:44:15.000,,כפר שמריהו,המעפילים,2,5,277,5,2022-05-15 09:53:02.332,183227.50999999975,676294.0700000003
75,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-20 09:00:02.000,,תל אביב - יפו,מוזס יהודה ונח,2,0,0,10,2022-05-15 09:53:02.332,180636.83000000007,664833.2699999996
76,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-22 15:00:03.000,,אור יהודה,האיריס,1,0,0,10,2022-05-15 09:53:02.333,187667.66999999995,659861.0099999998
82,JAM,,2022-05-15 09:28:18.000,,,"ל-פתח תקווה, קריית אונו",4,5,256,5,2022-05-15 09:53:02.334,187279.4699999997,664155.1099999994
81,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:51:24.000,,,6 דרום,3,5,213,5,2022-05-15 09:53:02.334,186280.66000000012,637531.2400000002
80,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:19:23.000,,,20 איילון צפון,3,5,22,9,2022-05-15 09:53:02.334,179600.91000000015,661055.6500000004
77,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 09:40:34.000,,,412,7,5,78,9,2022-05-15 09:53:02.334,187025.50999999975,658589.5099999998
78,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:20:10.000,,פתח תקווה,זאב זבוטינסקי,2,5,267,6,2022-05-15 09:53:02.334,185874.1500000004,666647.1799999997
79,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-02 00:22:50.000,,חולון,,1,0,0,10,2022-05-15 09:53:02.334,179004.88999999966,658838.9399999995
87,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:43:32.000,,אשדוד,הרכבת,2,5,29,6,2022-05-15 09:53:02.335,168123.61000000034,631715.3900000006
88,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:13:03.000,,,,4,5,268,10,2022-05-15 09:53:02.335,198168.8200000003,667636.4199999999
86,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-24 16:37:57.000,,חולון,אילת,2,0,0,10,2022-05-15 09:53:02.335,177965.59999999963,658892.7699999996
84,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:24:45.000,,,461 מערב,6,5,284,5,2022-05-15 09:53:02.335,186195.6799999997,660282.3100000005
83,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:38:01.000,,פתח תקווה,הרב משה מלכה,2,5,188,5,2022-05-15 09:53:02.335,187805.16999999995,666538.0800000001
85,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-03-22 16:00:02.000,,תל אביב - יפו,בן יהודה,2,0,0,10,2022-05-15 09:53:02.335,178618.1799999997,665686.4600000009
89,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-24 16:37:58.000,,חולון,אילת,2,0,0,8,2022-05-15 09:53:02.336,177956.8700000001,658813.6199999992
90,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 14:42:06.000,,תל אביב - יפו,שד ירושלים,2,0,0,10,2022-05-15 09:53:02.336,177424.86000000034,662262.4000000004
91,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:41:35.000,,,6 דרום,3,5,183,10,2022-05-15 09:53:02.336,201396.46,691336.3800000008
92,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-14 21:00:04.000,,כפר סבא,בן גוריון,2,0,0,6,2022-05-15 09:53:02.337,191484.1399999997,675480.1400000006
93,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-15 18:24:40.000,,ראשון לציון,שלמה לוי,1,0,0,10,2022-05-15 09:53:02.337,183694.99000000025,652624.1099999994
94,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:45:23.000,,,40 צפון,6,5,354,10,2022-05-15 09:53:02.337,191313.5499999998,660592.4299999997
95,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-01-31 09:48:01.000,,בני ברק,פורצי כלא עכו,1,0,0,10,2022-05-15 09:53:02.337,183720.41000000012,666760.4499999993
96,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:29:30.000,,בני ברק,הרב כהנמן,2,5,349,5,2022-05-15 09:53:02.338,185182.75,665298.9100000001
97,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:46:45.000,,,"ל-471 פתח תקווה, אלעד",4,5,169,5,2022-05-15 09:53:02.338,193868.78000000023,664536.4000000004
98,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:12:14.000,,,6 דרום,3,5,201,10,2022-05-15 09:53:02.338,198040.8899999997,681716.2699999996
101,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:42:56.000,,,412,7,5,39,5,2022-05-15 09:53:02.339,188771.53000000023,659282.3100000005
100,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:27:13.000,,,ל- 2 חיפה,4,5,320,10,2022-05-15 09:53:02.339,184610.08999999985,677854.6300000008
99,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-01-04 21:37:10.000,,אור יהודה,יגאל אלון,2,0,0,10,2022-05-15 09:53:02.339,186214.3899999997,659530.0600000005
102,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:13:30.000,,תל אביב - יפו,לוי אשכול,2,5,190,8,2022-05-15 09:53:02.340,180324.33000000007,669064.6699999999
103,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:38:54.000,,,471 מערב,3,5,260,5,2022-05-15 09:53:02.340,186403.6500000004,663911.3599999994
104,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:22:16.000,,,ל- פתח תקווה,4,5,255,10,2022-05-15 09:53:02.340,188945.53000000023,669651.5
105,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:37:10.000,,גבעת שמואל,דרך בר-אילן,2,5,237,8,2022-05-15 09:53:02.340,185741.34999999963,663770.9199999999
106,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-01-10 14:00:03.000,,תל אביב - יפו,השומרון,2,0,0,10,2022-05-15 09:53:02.341,179225.83999999985,663041.8200000003
107,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:34:46.000,,תל אביב - יפו,שגב,1,5,67,5,2022-05-15 09:53:02.341,176703.8099999996,662380.6699999999
108,JAM,,2022-05-15 09:46:47.000,,תל אביב - יפו,דרך קיבוץ גלויות,2,5,89,5,2022-05-15 09:53:02.341,179867.38999999966,661597.5700000003
109,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-12-09 18:44:06.000,,יהוד-מונוסון,תמר,1,0,0,10,2022-05-15 09:53:02.342,188271.1200000001,659466.2799999993
110,ACCIDENT,,2022-05-15 09:50:23.000,,,57 מערב,6,5,273,6,2022-05-15 09:53:02.342,189521.3899999997,692202.7699999996
111,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 09:46:05.000,,הרצליה,יורדי ים,1,5,219,5,2022-05-15 09:53:02.343,180944.1900000004,674344.4600000009
112,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-12-12 12:09:18.000,,תל אביב - יפו,,2,0,0,10,2022-05-15 09:53:02.343,179084.16000000015,663131.1799999997
113,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:31:08.000,,,4 דרום,3,5,241,10,2022-05-15 09:53:02.343,186660.83999999985,670292.4499999993
114,WEATHERHAZARD,HAZARD_ON_ROAD_CONSTRUCTION,2021-02-07 04:00:00.000,חסר מידע,,,0,0,0,6,2022-05-15 09:53:02.344,178825.86000000034,665089.1799999997
120,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-02 21:00:00.000,,גבעתיים,טייבר,1,0,0,10,2022-05-15 09:53:02.345,181954.53000000023,664345.2400000002
119,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:40:29.000,,,443 מערב,6,5,293,6,2022-05-15 09:53:02.345,197896.66000000012,650175.0
118,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:46:53.000,,,7 מערב,3,5,292,5,2022-05-15 09:53:02.345,176435.3700000001,635410.6199999992
116,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:23:36.000,,פתח תקווה,מרטין גהל,2,5,173,5,2022-05-15 09:53:02.345,186131.3899999997,667595.7799999993
115,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:50:45.000,,תל אביב - יפו,דרך קיבוץ גלויות,2,5,90,5,2022-05-15 09:53:02.345,180053.0700000003,661595.6500000004
117,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:27:40.000,,הרצליה,שבעת הכוכבים,2,5,265,6,2022-05-15 09:53:02.345,182571.41000000012,674169.4100000001
121,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:48:17.000,,,42 צפון,6,5,30,8,2022-05-15 09:53:02.346,172288.0,636776.8100000005
122,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-22 12:08:20.000,,תל אביב - יפו,שתולים,1,0,0,10,2022-05-15 09:53:02.346,180770.2999999998,661493.5800000001
123,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:22:51.000,,,6 דרום,3,2,200,10,2022-05-15 09:53:02.346,201561.98000000045,695711.4199999999
124,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:26:10.000,,,ל- הרצליה (פיתוח),4,5,15,7,2022-05-15 09:53:02.347,182891.61000000036,674204.4600000009
125,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:44:11.000,,כפר סבא,ששת הימים,2,5,294,5,2022-05-15 09:53:02.347,190216.08000000007,675894.2400000002
126,WEATHERHAZARD,HAZARD_ON_SHOULDER_CAR_STOPPED,2022-05-15 09:50:05.000,,,6 דרום,3,5,235,8,2022-05-15 09:53:02.347,194370.3200000003,651923.4399999995
127,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:17:45.000,,,6 דרום,3,5,214,10,2022-05-15 09:53:02.347,196683.9400000004,679368.6199999992
128,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:50:13.000,,פתח תקווה,יצחק רבין,2,5,3,5,2022-05-15 09:53:02.348,186969.1299999999,665023.5700000003
129,JAM,JAM_MODERATE_TRAFFIC,2022-05-15 09:46:52.000,,רמת גן,זאב זבוטינסקי,2,5,242,5,2022-05-15 09:53:02.349,182685.9500000002,666208.2400000002
130,ROAD_CLOSED,ROAD_CLOSED_EVENT,2021-08-12 14:00:04.000,,תל אביב - יפו,בן סרוק,1,0,0,10,2022-05-15 09:53:02.349,179694.4400000004,665825.2200000007
136,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-05-08 13:00:00.000,,,ל- שד רבין,4,0,0,10,2022-05-15 09:53:02.350,177164.01999999955,655099.2799999993
135,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:35:39.000,,רמת השרון,משה סנה,2,5,211,5,2022-05-15 09:53:02.350,184290.0599999996,671063.5800000001
134,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:27:56.000,,,6 דרום,3,5,201,10,2022-05-15 09:53:02.350,199944.83999999985,686972.75
133,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-10 11:37:09.000,,תל אביב - יפו,ארלוזורוב,2,0,0,10,2022-05-15 09:53:02.350,178909.51999999955,666038.7699999996
132,ROAD_CLOSED,,2022-05-15 09:26:16.000,,תל אביב - יפו,אחד העם,1,5,0,5,2022-05-15 09:53:02.350,179117.66000000015,663981.2599999998
131,JAM,JAM_HEAVY_TRAFFIC,2022-05-15 09:45:35.000,,,ל-4 חיפה,4,1,29,5,2022-05-15 09:53:02.350,184958.83000000007,663691.3800000008
143,WEATHERHAZARD,HAZARD_ON_ROAD_CAR_STOPPED,2022-05-15 09:47:32.000,,,7 מערב,3,5,311,10,2022-05-15 09:53:02.352,175455.7000000002,635767.2799999993
141,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:23:33.000,,,20 איילון דרום,3,5,205,7,2022-05-15 09:53:02.352,183703.33000000007,676379.0899999999
140,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-04-25 12:56:33.000,,גבעת שמואל,יצחק שמיר,1,0,0,10,2022-05-15 09:53:02.352,186316.4500000002,664041.9800000004
142,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:41:29.000,,,40 צפון,6,5,36,6,2022-05-15 09:53:02.352,189494.6299999999,648316.4600000009
138,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-10 11:37:09.000,,תל אביב - יפו,ארלוזורוב,2,0,0,10,2022-05-15 09:53:02.352,179045.6900000004,665999.7799999993
137,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:20:15.000,,פתח תקווה,מרטין גהל,2,5,139,7,2022-05-15 09:53:02.352,186099.4400000004,667699.6999999993
139,JAM,JAM_STAND_STILL_TRAFFIC,2022-05-15 09:30:06.000,,,20 איילון צפון,3,5,6,6,2022-05-15 09:53:02.352,177323.33000000007,655798.6300000008
144,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-06 09:05:17.000,,תל אביב - יפו,שד ירושלים,2,0,0,6,2022-05-15 09:53:02.353,177426.34999999963,662419.4100000001
145,ROAD_CLOSED,ROAD_CLOSED_EVENT,2022-02-03 14:42:06.000,,תל אביב - יפו,שד ירושלים,2,0,0,10,2022-05-15 09:53:02.353,177321.38999999966,661428.4299999997
